TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2020,10,31,0,40,7XX HAMILTON ST,Central Business District,491596.5841,5458496.554
Mischief,2020,2,11,19,47,7XX HAMILTON ST,Central Business District,491686.9924,5458572.776
Mischief,2020,4,19,4,26,7XX HAMILTON ST,Central Business District,491686.9924,5458572.776
Mischief,2020,5,23,20,55,7XX HAMILTON ST,Central Business District,491686.9924,5458572.776
Mischief,2020,10,19,6,0,7XX HAMILTON ST,Central Business District,491686.9924,5458572.776
Mischief,2021,1,16,11,5,7XX HAMILTON ST,Central Business District,491686.9924,5458572.776
Mischief,2020,2,15,4,30,7XX HAWKS AVE,Strathcona,493646.9417,5458397.467
Mischief,2020,3,16,19,30,7XX HELMCKEN ST,Central Business District,490885.8247,5458446.282
Mischief,2020,7,29,17,0,7XX HELMCKEN ST,Central Business District,490914.6319,5458418.297
Mischief,2020,2,15,0,0,7XX HELMCKEN ST,Central Business District,490929.9894,5458390.63
Mischief,2020,2,23,9,45,7XX HOMER ST,Central Business District,491526.4189,5458564.911
Mischief,2020,8,16,1,40,7XX HOMER ST,Central Business District,491526.4189,5458564.911
Mischief,2020,1,13,17,0,7XX HORNBY ST,Central Business District,491170.6499,5458916.792
Mischief,2021,1,7,16,7,7XX HORNBY ST,Central Business District,491170.6499,5458916.792
Mischief,2020,1,30,8,0,7XX HORNBY ST,Central Business District,491171.9882,5458918.154
Mischief,2020,2,18,7,35,7XX HORNBY ST,Central Business District,491171.9882,5458918.154
Mischief,2020,3,16,15,44,7XX HORNBY ST,Central Business District,491171.9882,5458918.154
Mischief,2020,4,9,9,0,7XX HORNBY ST,Central Business District,491171.9882,5458918.154
Mischief,2020,7,3,5,30,7XX HORNBY ST,Central Business District,491171.9882,5458918.154
Mischief,2020,7,21,8,0,7XX HORNBY ST,Central Business District,491171.9882,5458918.154
Mischief,2020,10,31,1,2,7XX HORNBY ST,Central Business District,491171.9882,5458918.154
Mischief,2021,1,15,19,44,7XX HORNBY ST,Central Business District,491171.9882,5458918.154
Mischief,2020,2,3,17,20,7XX HORNBY ST,Central Business District,491186.9616,5458933.382
Mischief,2020,7,31,4,43,7XX HORNBY ST,Central Business District,491207.5124,5458941.241
Mischief,2020,9,27,3,20,7XX HORNBY ST,Central Business District,491207.5124,5458941.241
Mischief,2020,9,4,23,47,7XX HOWE ST,Central Business District,491331.4323,5458928.462
Mischief,2020,9,6,15,31,7XX HOWE ST,Central Business District,491331.4323,5458928.462
Mischief,2020,1,1,21,17,7XX HOWE ST,Central Business District,491333.8896,5458930.931
Mischief,2020,2,6,21,30,7XX JACKSON AVE,Strathcona,493199.1141,5458373.324
Mischief,2020,4,23,23,0,7XX KEEFER ST,Strathcona,493508.8391,5458503.493
Mischief,2020,6,27,21,0,7XX KEEFER ST,Strathcona,493508.8391,5458503.493
Mischief,2020,1,11,21,15,7XX KEEFER ST,Strathcona,493534.1131,5458511.806
Mischief,2020,6,2,23,0,7XX KEEFER ST,Strathcona,493623.8032,5458508.844
Mischief,2020,9,14,10,10,7XX KINGSWAY AVE,Kensington-Cedar Cottage,493603.8015,5455891.839
Mischief,2020,5,24,7,27,7XX MAIN ST,Central Business District,492736.5846,5458390.726
Mischief,2020,9,28,18,0,7XX MAIN ST,Central Business District,492736.5846,5458390.726
Mischief,2020,5,29,8,47,7XX MAIN ST,Central Business District,492738.5308,5458426.065
Mischief,2020,6,3,1,0,7XX MAIN ST,Central Business District,492738.5308,5458426.065
Mischief,2020,6,19,22,20,7XX MAIN ST,Central Business District,492738.5308,5458426.065
Mischief,2020,7,22,19,40,7XX MAIN ST,Central Business District,492738.5308,5458426.065
Mischief,2020,7,31,11,0,7XX MAIN ST,Central Business District,492738.5308,5458426.065
Mischief,2020,8,5,23,0,7XX MAIN ST,Central Business District,492738.5308,5458426.065
Mischief,2020,8,12,1,30,7XX MAIN ST,Central Business District,492738.5908,5458427.15
Mischief,2020,8,13,7,0,7XX MAIN ST,Central Business District,492738.5908,5458427.15
Mischief,2020,8,14,9,30,7XX MAIN ST,Central Business District,492738.5908,5458427.15
Mischief,2020,9,11,1,35,7XX MAIN ST,Central Business District,492738.5908,5458427.15
Mischief,2020,9,17,4,22,7XX MAIN ST,Central Business District,492738.5908,5458427.15
Mischief,2020,11,20,19,0,7XX MAIN ST,Central Business District,492738.5908,5458427.15
Mischief,2020,12,7,23,23,7XX MAIN ST,Central Business District,492738.5908,5458427.15
Mischief,2020,12,8,0,48,7XX MAIN ST,Central Business District,492738.5908,5458427.15
Mischief,2020,12,12,0,0,7XX MAIN ST,Central Business District,492738.5908,5458427.15
Mischief,2020,12,20,1,21,7XX MAIN ST,Central Business District,492738.5908,5458427.15
Mischief,2020,12,21,0,38,7XX MAIN ST,Central Business District,492738.5908,5458427.15
Mischief,2020,12,26,4,59,7XX MAIN ST,Central Business District,492738.5908,5458427.15
Mischief,2021,1,1,23,20,7XX MAIN ST,Central Business District,492738.5908,5458427.15
Mischief,2021,1,3,22,2,7XX MAIN ST,Central Business District,492738.5908,5458427.15
Mischief,2021,1,22,20,0,7XX MAIN ST,Central Business District,492738.5908,5458427.15
Mischief,2021,1,14,11,0,7XX MAIN ST,Strathcona,492745.932,5458394.176
Mischief,2020,2,13,9,43,7XX MAIN ST,Strathcona,492747.661,5458425.562
Mischief,2020,6,19,22,0,7XX MAIN ST,Strathcona,492747.661,5458425.562
Mischief,2020,8,10,22,59,7XX MAIN ST,Strathcona,492751.3733,5458333.781
Mischief,2020,6,10,18,0,7XX MILLYARD ST,Fairview,491225.539,5457124.54
Mischief,2020,11,29,12,26,7XX NATIONAL AVE,Strathcona,493654.4629,5457775.949
Mischief,2020,3,22,0,1,7XX NELSON ST,Central Business District,490989.1737,5458562.746
Mischief,2020,10,1,0,0,7XX NICOLA ST,West End,490475.6562,5459570.677
Mischief,2020,3,26,9,49,7XX PACIFIC BLVD,Central Business District,491969.6723,5458156.549
Mischief,2020,4,11,7,39,7XX PACIFIC BLVD,Central Business District,491969.6723,5458156.549
Mischief,2020,5,16,1,28,7XX PACIFIC BLVD,Central Business District,491970.8693,5458157.503
Mischief,2020,3,30,8,56,7XX PACIFIC BLVD,Central Business District,491983.9101,5458156.184
Mischief,2020,7,8,12,0,7XX PACIFIC BLVD,Central Business District,491983.9101,5458156.184
Mischief,2020,9,1,18,0,7XX PACIFIC BLVD,Central Business District,491994.1347,5458164.301
Mischief,2020,5,3,9,6,7XX PACIFIC BLVD,Central Business District,492005.8692,5458173.621
Mischief,2020,8,19,6,55,7XX PACIFIC BLVD,Central Business District,492005.8692,5458173.621
Mischief,2020,8,31,5,9,7XX PACIFIC BLVD,Central Business District,492005.8692,5458173.621
Mischief,2020,9,29,0,40,7XX PACIFIC BLVD,Central Business District,492005.8692,5458173.621
Mischief,2020,10,8,16,0,7XX PACIFIC BLVD,Central Business District,492005.8692,5458173.621
Mischief,2020,11,1,10,35,7XX PACIFIC BLVD,Central Business District,492064.5417,5458220.222
Mischief,2020,6,24,9,40,7XX POWELL ST,Strathcona,493502.2667,5458915.317
Mischief,2021,2,15,18,59,7XX POWELL ST,Strathcona,493512.1155,5458924.167
Mischief,2020,4,1,21,30,7XX POWELL ST,Strathcona,493545.7215,5458923.147
Mischief,2020,12,1,0,0,7XX POWELL ST,Strathcona,493545.7215,5458923.147
Mischief,2021,2,17,14,0,7XX POWELL ST,Strathcona,493545.7215,5458923.147
Mischief,2020,2,6,7,0,7XX POWELL ST,Strathcona,493655.6863,5458919.809
Mischief,2020,7,30,7,0,7XX POWELL ST,Strathcona,493655.6863,5458919.809
Mischief,2021,1,26,17,30,7XX POWELL ST,Strathcona,493655.6863,5458919.809
Mischief,2020,8,9,0,0,7XX PRINCESS AVE,Strathcona,493332.0912,5458392.214
Mischief,2020,3,9,21,0,7XX PRINCESS AVE,Strathcona,493341.7134,5458406.831
Mischief,2020,4,3,20,0,7XX RICHARDS ST,Central Business District,491454.6934,5458635.773
Mischief,2020,4,29,12,25,7XX RICHARDS ST,Central Business District,491454.6934,5458635.773
Mischief,2020,2,11,10,53,7XX RICHARDS ST,Central Business District,491470.1509,5458638.312
Mischief,2020,3,16,3,39,7XX RICHARDS ST,Central Business District,491470.1509,5458638.312
Mischief,2020,11,8,6,26,7XX RICHARDS ST,Central Business District,491470.1509,5458638.312
Mischief,2020,1,5,13,22,7XX ROBSON ST,Central Business District,491215.7446,5458816.612
Mischief,2020,4,16,8,0,7XX ROBSON ST,Central Business District,491218.3872,5458814.035
Mischief,2020,12,15,13,28,7XX ROBSON ST,Central Business District,491218.3872,5458814.035
Mischief,2020,5,25,1,8,7XX ROBSON ST,Central Business District,491265.3004,5458755.521
Mischief,2020,10,18,8,58,7XX ROBSON ST,Central Business District,491273.4999,5458747.527
Mischief,2020,11,9,1,40,7XX SE MARINE DR,Sunset,493418.9448,5450929.408
Mischief,2020,4,29,0,0,7XX SE MARINE DR,Sunset,493493.7827,5450930.503
Mischief,2020,9,8,0,0,7XX SE MARINE DR,Sunset,493493.7827,5450930.503
Mischief,2020,7,27,11,30,7XX SEYMOUR ST,Central Business District,491387.0085,5458703.987
Mischief,2020,11,30,3,0,7XX SEYMOUR ST,Central Business District,491402.3945,5458706.563
Mischief,2020,11,28,18,14,7XX SEYMOUR ST,Central Business District,491408.8549,5458726.129
Mischief,2020,10,12,23,12,7XX SEYMOUR ST,Central Business District,491410.7285,5458715.009
Mischief,2020,6,25,21,54,7XX SMITHE ST,Central Business District,491152.8278,5458637.236
Mischief,2020,12,4,15,30,7XX TEMPLETON DR,Grandview-Woodland,495645.2725,5458367.611
Mischief,2021,2,16,5,29,7XX TEMPLETON DR,Grandview-Woodland,495654.5945,5458388.712
Mischief,2020,7,12,14,51,7XX TERMINAL AVE,Strathcona,493536.445,5457588.476
Mischief,2020,2,23,21,0,7XX TERMINAL AVE,Strathcona,493611.2557,5457569.042
Mischief,2020,7,23,16,51,7XX TERMINAL AVE,Strathcona,493640.5724,5457533.98
Mischief,2020,8,23,18,30,7XX THURLOW ST,West End,490940.0632,5459127.768
Mischief,2020,1,1,5,33,7XX THURLOW ST,West End,490949.9402,5459124.722
Mischief,2020,7,3,2,35,7XX THURLOW ST,West End,490967.1495,5459154.923
Mischief,2020,7,14,1,21,7XX THURLOW ST,West End,490967.1495,5459154.923
Mischief,2020,12,3,9,0,7XX THURLOW ST,West End,490967.2885,5459155.062
Mischief,2020,11,20,6,55,7XX THURLOW ST,West End,490970.3592,5459145.193
Mischief,2020,7,23,3,0,7XX UNION ST,Strathcona,493522.1906,5458301.145
Mischief,2020,9,2,17,0,7XX UNION ST,Strathcona,493567.8418,5458309.381
Mischief,2020,11,4,22,0,7XX UNION ST,Strathcona,493567.8418,5458309.381
Mischief,2020,8,23,18,40,7XX UNION ST,Strathcona,493593.0176,5458299.733
Mischief,2020,12,9,16,30,7XX W 14TH AVE,Fairview,491215.9915,5456217.293
Mischief,2020,12,11,20,0,7XX W 16TH AVE,South Cambie,491165.6116,5456029.83
Mischief,2021,2,5,5,0,7XX W 27TH AVE,South Cambie,491137.5798,5454931.363
Mischief,2020,8,17,15,52,7XX W 28TH AVE,South Cambie,491171.0403,5454838.172
Mischief,2020,10,7,6,0,7XX W 49TH AVE,Oakridge,491032.9639,5452621.372
Mischief,2020,5,11,16,44,7XX W 54TH AVE,Oakridge,491145.0436,5452093.222
Mischief,2020,4,8,13,14,7XX W 57TH AVE,Marpole,491025.2567,5451819.128
Mischief,2020,4,28,4,58,7XX W 64TH AVE,Marpole,491082.9693,5451071.84
Mischief,2020,1,9,3,30,7XX W 66TH AVE,Marpole,491168.6781,5450940.266
Mischief,2020,6,15,4,24,7XX W 6TH AVE,Fairview,491230.9898,5457014.297
Mischief,2020,7,8,14,12,7XX W 70TH AVE,Marpole,491040.0261,5450634.105
Mischief,2020,9,26,17,0,7XX W 7TH AVE,Fairview,491176.5575,5456935.604
Mischief,2020,11,2,18,53,7XX W 8TH AVE,Fairview,491148.7337,5456841.416
Mischief,2020,7,2,19,44,7XX W 8TH AVE,Fairview,491274.8144,5456830.551
Mischief,2021,2,13,19,0,7XX W BROADWAY AVE,Fairview,491172.2681,5456739.208
Mischief,2021,1,12,8,29,7XX W BROADWAY AVE,Fairview,491257.1389,5456737.549
Mischief,2020,3,25,11,44,7XX W GEORGIA ST,Central Business District,491395.7114,5458870.866
Mischief,2020,2,13,13,8,7XX W GEORGIA ST,Central Business District,491401.3214,5458865.331
Mischief,2020,9,14,12,19,7XX W GEORGIA ST,Central Business District,491401.3214,5458865.331
Mischief,2021,1,4,0,0,7XX W GEORGIA ST,Central Business District,491401.3214,5458865.331
Mischief,2021,2,9,0,11,7XX W GEORGIA ST,Central Business District,491401.3214,5458865.331
Mischief,2020,1,16,0,0,7XX W GEORGIA ST,Central Business District,491402.7991,5458863.872
Mischief,2020,1,1,0,0,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,1,3,8,12,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,1,18,8,0,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,1,25,17,0,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,1,27,7,39,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,2,19,17,15,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,3,3,4,38,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,3,19,6,0,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,4,5,15,32,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,4,10,13,0,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,4,11,13,18,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,4,17,21,15,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,4,18,16,0,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,4,24,4,36,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,4,25,1,0,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,4,26,4,24,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,5,2,5,0,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,5,2,19,32,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,5,8,1,0,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,9,1,3,49,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,9,5,21,51,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,9,10,15,3,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,9,25,22,54,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,10,2,2,0,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,10,17,20,53,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,10,19,0,0,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,10,22,9,30,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,11,8,10,59,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,11,9,7,0,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,11,14,18,45,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,11,20,9,31,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,12,6,2,47,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,12,7,0,0,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,12,15,1,14,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,12,16,9,9,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,12,21,3,54,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,12,25,0,0,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,12,29,3,32,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,12,29,14,37,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2021,1,5,1,2,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2021,1,18,0,14,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2021,1,19,1,48,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2021,1,25,0,8,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2021,2,1,0,24,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2021,2,2,0,53,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2021,2,2,12,56,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2021,2,7,16,35,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2021,2,9,0,44,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.839
Mischief,2020,3,17,4,49,7XX W GEORGIA ST,Central Business District,491409.222,5458870.38
Mischief,2020,4,17,9,40,7XX W HASTINGS ST,Central Business District,491682.5307,5459224.305
Mischief,2020,6,24,22,34,7XX W HASTINGS ST,Central Business District,491682.5307,5459224.305
Mischief,2020,9,15,19,38,7XX W HASTINGS ST,Central Business District,491682.5307,5459224.305
Mischief,2020,10,31,17,30,7XX W HASTINGS ST,Central Business District,491682.5307,5459224.305
Mischief,2021,2,4,10,53,7XX W HASTINGS ST,Central Business District,491682.5307,5459224.305
Mischief,2021,2,8,0,48,7XX W HASTINGS ST,Central Business District,491682.5307,5459224.305
Mischief,2020,8,4,11,0,7XX W HASTINGS ST,Central Business District,491713.7958,5459180.089
Mischief,2020,3,6,18,45,7XX W PENDER ST,Central Business District,491595.4168,5459163.02
Mischief,2020,3,7,4,10,7XX W PENDER ST,Central Business District,491595.4168,5459163.02
Mischief,2020,8,3,13,0,7XX W PENDER ST,Central Business District,491607.731,5459138.511
Mischief,2020,10,5,10,37,7XX W PENDER ST,Central Business District,491607.731,5459138.511
Mischief,2020,10,19,18,43,7XX W PENDER ST,Central Business District,491607.731,5459138.511
Mischief,2020,11,2,0,0,7XX W PENDER ST,Central Business District,491607.731,5459138.511
Mischief,2020,12,2,0,0,7XX W PENDER ST,Central Business District,491607.731,5459138.511
Mischief,2020,1,6,19,55,7XX W PENDER ST,Central Business District,491607.7847,5459138.459
Mischief,2020,1,20,0,0,7XX W PENDER ST,Central Business District,491607.7847,5459138.459
Mischief,2020,3,23,0,0,7XX W PENDER ST,Central Business District,491607.7847,5459138.459
Mischief,2020,12,30,0,0,7XX W PENDER ST,Central Business District,491607.7847,5459138.459
Mischief,2021,2,2,6,0,7XX W PENDER ST,Central Business District,491607.7847,5459138.459
Mischief,2020,4,16,9,42,7XX W PENDER ST,Central Business District,491641.0327,5459106.519
Mischief,2020,6,20,18,36,7XX W PENDER ST,Central Business District,491641.0327,5459106.519
Mischief,2020,8,31,13,49,7XX W PENDER ST,Central Business District,491641.0327,5459106.519
Mischief,2020,12,11,7,37,7XX W PENDER ST,Central Business District,491641.0327,5459106.519
Mischief,2021,1,31,2,15,7XX W PENDER ST,Central Business District,491641.0327,5459106.519
Mischief,2020,11,10,4,26,7XX W PENDER ST,Central Business District,491643.4738,5459104.174
Mischief,2020,11,13,17,0,7XX W PENDER ST,Central Business District,491643.4738,5459104.174
Mischief,2020,10,30,19,41,7XX WOODLAND DR,Grandview-Woodland,494706.7373,5458410.625
Mischief,2020,5,11,17,0,7XX WOODLAND DR,Grandview-Woodland,494715.9781,5458414.05
Mischief,2020,10,25,9,0,7XX WOODLAND DR,Grandview-Woodland,494715.9781,5458414.05
Mischief,2020,7,4,18,0,80XX ASH ST,Marpole,491250.4035,5451070.777
Mischief,2020,9,3,0,12,80XX CHAMPLAIN CRES,Killarney,497839.2903,5451140.933
Mischief,2020,1,8,9,0,80XX FRASER ST,Sunset,493368.6368,5451070.419
Mischief,2020,8,26,12,10,80XX FRASER ST,Sunset,493368.8903,5451092.888
Mischief,2020,1,7,22,0,80XX FREMLIN ST,Marpole,490728.7428,5451074.266
Mischief,2020,1,31,0,22,80XX GRANVILLE ST,Marpole,489780.4813,5451120.506
Mischief,2020,3,9,20,30,80XX GRANVILLE ST,Marpole,489781.298,5451153.183
Mischief,2020,10,6,7,0,80XX GRANVILLE ST,Marpole,489781.298,5451153.183
Mischief,2020,1,8,3,14,80XX LAUREL ST,Marpole,490822.3078,5451110.414
Mischief,2020,1,3,14,0,81XX ARGYLE ST,Victoria-Fraserview,494810.4475,5450822.112
Mischief,2020,4,9,23,48,81XX GRANVILLE ST,Marpole,489768.7986,5451018.906
Mischief,2020,12,14,17,15,81XX GRANVILLE ST,Marpole,489778.7139,5451049.76
Mischief,2020,2,7,15,38,81XX KNIGHT STREET BRDG,Victoria-Fraserview,494392.3774,5450892.021
Mischief,2020,7,16,18,20,81XX MAIN ST,Sunset,492551.3369,5450957.272
Mischief,2020,1,3,18,0,81XX MAIN ST,Sunset,492551.4797,5450960.768
Mischief,2020,2,26,20,0,81XX ONTARIO ST,Marpole,492228.3907,5450918.671
Mischief,2020,11,24,17,0,81XX ONTARIO ST,Marpole,492228.3907,5450918.671
Mischief,2020,7,31,6,30,81XX PRINCE ALBERT ST,Sunset,493570.5191,5450971.244
Mischief,2020,8,11,10,41,82XX ARGYLE ST,Victoria-Fraserview,494810.298,5450806.62
Mischief,2020,1,1,13,30,82XX GRANVILLE ST,Marpole,489776.6226,5450965.804
Mischief,2021,1,2,16,0,82XX KERR ST,Killarney,496947.5344,5450791.046
Mischief,2020,4,1,15,3,82XX ONTARIO ST,Sunset,492235.2403,5450853.45
Mischief,2020,1,27,22,2,82XX ONTARIO ST,Marpole,492223.3538,5450775.853
Mischief,2020,1,16,9,40,82XX SHAUGHNESSY ST,Marpole,490625.4053,5450923.481
Mischief,2020,7,13,9,55,82XX SHERBROOKE ST,Sunset,494025.0068,5450917.771
Mischief,2020,11,13,22,50,82XX SHERBROOKE ST,Sunset,494025.0068,5450917.771
Mischief,2020,7,29,21,0,83XX FRENCH ST,Marpole,489860.4351,5450849.633
Mischief,2020,7,14,11,30,83XX FRENCH ST,Marpole,489861.1473,5450879.855
Mischief,2020,9,2,20,0,83XX FRENCH ST,Marpole,489870.6197,5450893.685
Mischief,2020,11,11,18,0,83XX FRENCH ST,Marpole,489870.6197,5450893.685
Mischief,2020,3,21,9,54,83XX OAK ST,Marpole,490521.865,5450863.752
Mischief,2020,7,3,20,30,83XX VICTORIA DR,Victoria-Fraserview,495178.9698,5450685.508
Mischief,2020,2,3,11,0,83XX VICTORIA DR,Victoria-Fraserview,495179.0346,5450690.125
Mischief,2020,10,28,10,41,84XX ADERA ST,Marpole,489540.9394,5450842.09
Mischief,2020,6,15,0,0,84XX FRENCH ST,Marpole,489868.8644,5450819.196
Mischief,2020,5,7,21,10,84XX GRANVILLE ST,Marpole,489762.8292,5450782.715
Mischief,2020,11,27,17,0,84XX GRANVILLE ST,Marpole,489771.7854,5450775.236
Mischief,2020,2,25,4,51,84XX ONTARIO ST,Marpole,492218.6688,5450639.911
Mischief,2020,7,20,23,0,84XX WILTSHIRE ST,Marpole,489344.8244,5450877.47
Mischief,2020,3,19,18,30,85XX CAMBIE ST,Marpole,491457.3267,5450609.147
Mischief,2020,4,11,22,22,85XX CAMBIE ST,Marpole,491457.3267,5450609.147
Mischief,2020,4,12,10,17,85XX CAMBIE ST,Marpole,491457.3267,5450609.147
Mischief,2020,11,10,15,0,85XX GRANVILLE ST,Marpole,489768.8139,5450658.207
Mischief,2020,4,23,0,0,85XX HEATHER ST,Marpole,490948.9069,5450672.686
Mischief,2020,9,26,0,0,85XX MAIN ST,Sunset,492536.4491,5450535.195
Mischief,2020,11,16,14,4,85XX OAK ST,Marpole,490508.1452,5450652.081
Mischief,2020,5,6,2,14,85XX RIVERGRASS DR,Killarney,497937.9174,5450250.855
Mischief,2020,6,25,7,14,85XX STANLEY PARK DR,Stanley Park,489094.2408,5460345.559
Mischief,2020,10,12,7,32,85XX STANLEY PARK DR,Stanley Park,489094.2408,5460345.559
Mischief,2020,2,11,20,49,85XX STANLEY PARK DR,Stanley Park,489099.4149,5460353.098
Mischief,2021,1,7,2,33,86XX FREMLIN ST,Marpole,490714.7077,5450537.062
Mischief,2021,2,13,22,0,86XX GRANVILLE ST,Marpole,489758.0741,5450594.641
Mischief,2020,9,8,15,0,86XX GRANVILLE ST,Marpole,489765.1193,5450510.652
Mischief,2020,12,23,17,10,86XX GRANVILLE ST,Marpole,489765.1193,5450510.652
Mischief,2020,3,11,22,0,86XX GRANVILLE ST,Marpole,489767.6644,5450612.361
Mischief,2020,7,18,13,28,86XX GRANVILLE ST,Marpole,489768.2632,5450636.292
Mischief,2020,5,31,22,51,86XX LAUREL ST,Marpole,490806.1023,5450496.194
Mischief,2021,1,2,14,15,86XX LAUREL ST,Marpole,490811.9347,5450591.244
Mischief,2020,6,16,14,3,86XX LAUREL ST,Marpole,490815.0038,5450622.95
Mischief,2020,5,31,5,15,86XX SELKIRK ST,Marpole,490286.1776,5450601.075
Mischief,2020,7,7,11,22,87XX ANGUS DR,Kerrisdale,489104.7728,5450521.972
Mischief,2020,4,12,9,19,87XX ASH ST,Marpole,491329.2896,5450381.676
Mischief,2021,1,13,20,9,87XX FREMLIN ST,Marpole,490710.3539,5450366.9
Mischief,2020,11,7,19,0,87XX GRANVILLE ST,Marpole,489753.6278,5450417.67
Mischief,2020,2,7,0,0,87XX GRANVILLE ST,Marpole,489761.9771,5450386.126
Mischief,2020,7,12,16,0,87XX MONTCALM ST,Marpole,490073.3689,5450417.534
Mischief,2021,2,14,17,0,87XX MONTCALM ST,Marpole,490083.4674,5450456.337
Mischief,2020,3,11,5,30,87XX OAK STREET BRDG,Marpole,490499.2317,5450463.541
Mischief,2020,2,17,18,0,88XX CARTIER ST,Marpole,489970.1579,5450320.223
Mischief,2021,1,6,21,0,88XX CARTIER ST,Marpole,489970.1579,5450320.223
Mischief,2020,10,13,18,19,88XX GRANVILLE ST,Marpole,489770.2292,5450307.465
Mischief,2020,4,6,9,0,89XX HEATHER ST,Marpole,491082.8331,5450259.076
Mischief,2020,5,25,11,0,89XX HEATHER ST,Marpole,491082.8331,5450259.076
Mischief,2020,8,7,12,0,89XX SHAUGHNESSY ST,Marpole,490621.4682,5450254.854
Mischief,2020,9,29,14,23,89XX SHAUGHNESSY ST,Marpole,490621.4682,5450254.854
Mischief,2020,9,29,16,27,89XX STANLEY PARK DR,Stanley Park,489232.1268,5460019.457
Mischief,2020,12,24,10,20,89XX STANLEY PARK DR,Stanley Park,489232.1268,5460019.457
Mischief,2020,5,9,22,20,8X ALEXANDER ST,Central Business District,492541.8543,5459005.77
Mischief,2021,2,3,16,10,8X E 1ST AVE,Mount Pleasant,492506.2266,5457490.041
Mischief,2021,1,4,1,0,8X E 40TH AVE,Riley Park,492424.9154,5453541.849
Mischief,2020,9,17,14,28,8X E 55TH AVE,Sunset,492399.0183,5451936.088
Mischief,2020,4,19,4,10,8X E CORDOVA ST,Central Business District,492537.9986,5458853.374
Mischief,2020,5,26,3,21,8X E CORDOVA ST,Central Business District,492537.9986,5458853.374
Mischief,2020,3,13,19,26,8X E CORDOVA ST,Central Business District,492544.1623,5458844.195
