TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2020,9,15,6,1,10XX GILFORD ST,West End,489771.9792,5459720.28
Break and Enter Commercial,2020,3,28,23,0,10XX GRANVILLE ST,Central Business District,490951.8793,5458412.199
Break and Enter Commercial,2020,5,23,7,20,10XX GRANVILLE ST,Central Business District,490964.4511,5458425.053
Break and Enter Commercial,2020,10,29,3,44,10XX GRANVILLE ST,Central Business District,490968.8928,5458416.517
Break and Enter Commercial,2020,10,31,6,30,10XX GRANVILLE ST,Central Business District,491021.2753,5458470.072
Break and Enter Commercial,2020,12,26,8,15,10XX GRANVILLE ST,Central Business District,491025.2148,5458487.177
Break and Enter Commercial,2020,9,10,1,17,10XX GRANVILLE ST,Central Business District,491029.6565,5458478.641
Break and Enter Commercial,2020,4,12,16,0,10XX HAMILTON ST,Central Business District,491233.0735,5458183.434
Break and Enter Commercial,2020,9,10,7,20,10XX HAMILTON ST,Central Business District,491296.1718,5458234.613
Break and Enter Commercial,2020,6,6,3,51,10XX HARO ST,West End,490907.0265,5458966.124
Break and Enter Commercial,2020,10,17,4,45,10XX HARO ST,West End,490907.0265,5458966.124
Break and Enter Commercial,2020,2,20,5,40,10XX HARWOOD ST,West End,490370.0447,5458403.209
Break and Enter Commercial,2020,9,12,0,0,10XX HARWOOD ST,West End,490371.2944,5458414.986
Break and Enter Commercial,2020,10,27,3,45,10XX HARWOOD ST,West End,490431.9449,5458353.234
Break and Enter Commercial,2020,1,11,14,12,10XX HOMER ST,Central Business District,491198.8052,5458234.074
Break and Enter Commercial,2020,1,16,0,0,10XX HOMER ST,Central Business District,491198.8052,5458234.074
Break and Enter Commercial,2020,4,17,18,22,10XX HOMER ST,Central Business District,491253.957,5458277.218
Break and Enter Commercial,2020,5,3,0,0,10XX HOMER ST,Central Business District,491253.957,5458277.218
Break and Enter Commercial,2020,5,14,16,2,10XX HOMER ST,Central Business District,491253.957,5458277.218
Break and Enter Commercial,2020,8,27,3,30,10XX HOMER ST,Central Business District,491253.957,5458277.218
Break and Enter Commercial,2020,9,20,11,52,10XX HOMER ST,Central Business District,491253.957,5458277.218
Break and Enter Commercial,2020,10,19,17,0,10XX HOMER ST,Central Business District,491253.957,5458277.218
Break and Enter Commercial,2020,1,11,4,50,10XX HOMER ST,Central Business District,491255.8873,5458292.24
Break and Enter Commercial,2020,2,20,2,0,10XX HORNBY ST,Central Business District,490834.1963,5458565.982
Break and Enter Commercial,2020,7,17,7,17,10XX HORNBY ST,Central Business District,490837.7786,5458569.647
Break and Enter Commercial,2020,10,28,23,0,10XX HOWE ST,Central Business District,490891.0561,5458484.35
Break and Enter Commercial,2020,11,4,22,0,10XX HOWE ST,Central Business District,490891.0561,5458484.35
Break and Enter Commercial,2020,1,27,2,41,10XX HOWE ST,Central Business District,490922.922,5458529.993
Break and Enter Commercial,2020,1,26,5,26,10XX HOWE ST,Central Business District,490945.0676,5458552.627
Break and Enter Commercial,2020,6,1,17,0,10XX JERVIS ST,West End,490409.621,5459131.108
Break and Enter Commercial,2020,8,11,7,0,10XX JERVIS ST,West End,490409.621,5459131.108
Break and Enter Commercial,2020,8,4,21,0,10XX LAGOON DR,Stanley Park,489317.118,5460043.104
Break and Enter Commercial,2021,1,3,21,48,10XX MAIN ST,Strathcona,492743.2373,5458089.609
Break and Enter Commercial,2020,4,6,20,0,10XX MAIN ST,Strathcona,492743.5459,5458101.499
Break and Enter Commercial,2020,11,3,2,49,10XX MAIN ST,Strathcona,492743.9464,5458116.916
Break and Enter Commercial,2020,1,25,5,19,10XX MAINLAND ST,Central Business District,491256.4853,5458128.293
Break and Enter Commercial,2020,3,6,1,30,10XX MAINLAND ST,Central Business District,491260.9943,5458119.796
Break and Enter Commercial,2020,1,23,6,50,10XX MAINLAND ST,Central Business District,491265.1417,5458124.097
Break and Enter Commercial,2020,10,6,5,12,10XX MAINLAND ST,Central Business District,491275.51,5458134.851
Break and Enter Commercial,2021,1,15,10,11,10XX MAINLAND ST,Central Business District,491283.8046,5458143.454
Break and Enter Commercial,2020,10,9,3,0,10XX MAINLAND ST,Central Business District,491322.3733,5458183.454
Break and Enter Commercial,2020,3,19,3,4,10XX MAINLAND ST,Central Business District,491323.2043,5458184.317
Break and Enter Commercial,2020,12,16,13,32,10XX MAINLAND ST,Central Business District,491323.2043,5458184.317
Break and Enter Commercial,2020,4,7,8,48,10XX MARINASIDE CRES,Central Business District,491400.994,5457872.422
Break and Enter Commercial,2020,10,6,1,5,10XX MARINASIDE CRES,Central Business District,491477.7038,5457857.499
Break and Enter Commercial,2020,9,18,12,30,10XX MARINASIDE CRES,Central Business District,491543.9092,5457836.086
Break and Enter Commercial,2020,4,5,21,0,10XX MARINASIDE CRES,Central Business District,491613.9262,5457845.885
Break and Enter Commercial,2020,1,14,8,4,10XX MELVILLE ST,Central Business District,491163.0187,5459274.307
Break and Enter Commercial,2020,7,1,23,41,10XX NELSON ST,West End,490787.3166,5458775.129
